"","task","trialsLeft","practice","trialNum","word1","patch","colorRT","colorResponse","isicolorRT","congruent","colorAccurate","word2","sameResponse","sameRT","isisameRT","same","sameAccurate","word","ink","subid"
"4232","wm",29,FALSE,43,"blue","blue",487,"blue",0,TRUE,TRUE,"blue","same",736,0,TRUE,TRUE,NA,NA,30
"4233","wm",28,FALSE,44,"green","red",0,"red",519,FALSE,FALSE,"green","same",814,0,TRUE,TRUE,NA,NA,30
"4234","wm",27,FALSE,45,"green","blue",0,"blue",165,FALSE,FALSE,"green","same",676,0,TRUE,TRUE,NA,NA,30
"4235","wm",26,FALSE,46,"green","green",0,"green",3,TRUE,FALSE,"blue","diff",857,0,FALSE,TRUE,NA,NA,30
"4236","wm",25,FALSE,47,"yellow","yellow",471,"yellow",0,TRUE,TRUE,"yellow","same",800,0,TRUE,TRUE,NA,NA,30
"4237","wm",24,FALSE,48,"red","green",487,"green",0,FALSE,TRUE,"red","same",736,0,TRUE,TRUE,NA,NA,30
"4238","wm",23,FALSE,49,"green","blue",488,"blue",0,FALSE,TRUE,"green","same",873,0,TRUE,TRUE,NA,NA,30
"4239","wm",22,FALSE,50,"green","yellow",0,"yellow",57,FALSE,FALSE,"yellow","diff",841,0,FALSE,TRUE,NA,NA,30
"4240","wm",21,FALSE,51,"yellow","yellow",471,"yellow",0,TRUE,TRUE,"yellow","same",1344,0,TRUE,TRUE,NA,NA,30
"4241","wm",20,FALSE,52,"blue","red",431,"red",0,FALSE,TRUE,"blue","same",889,0,TRUE,TRUE,NA,NA,30
"4242","wm",19,FALSE,53,"blue","blue",369,"blue",0,TRUE,TRUE,"blue","same",1386,0,TRUE,TRUE,NA,NA,30
"4243","wm",18,FALSE,54,"red","red",0,"red",15,TRUE,FALSE,"green","diff",958,0,FALSE,TRUE,NA,NA,30
"4244","wm",17,FALSE,55,"yellow","yellow",457,"yellow",0,TRUE,TRUE,"yellow","same",729,0,TRUE,TRUE,NA,NA,30
"4245","wm",16,FALSE,56,"yellow","green",0,"green",74,FALSE,FALSE,"green","diff",905,0,FALSE,TRUE,NA,NA,30
"4246","wm",15,FALSE,57,"green","green",431,"green",0,TRUE,TRUE,"green","same",753,0,TRUE,TRUE,NA,NA,30
"4247","wm",14,FALSE,58,"yellow","blue",0,"blue",31,FALSE,FALSE,"blue","diff",838,0,FALSE,TRUE,NA,NA,30
"4248","wm",13,FALSE,59,"red","yellow",0,"yellow",86,FALSE,FALSE,"yellow","diff",773,0,FALSE,TRUE,NA,NA,30
"4249","wm",12,FALSE,60,"green","green",443,"green",0,TRUE,TRUE,"red","diff",844,0,FALSE,TRUE,NA,NA,30
"4250","wm",11,FALSE,61,"red","red",0,"red",3,TRUE,FALSE,"green","diff",1114,0,FALSE,TRUE,NA,NA,30
"4251","wm",10,FALSE,62,"yellow","yellow",448,"yellow",0,TRUE,TRUE,"yellow","same",1113,0,TRUE,TRUE,NA,NA,30
"4252","wm",9,FALSE,63,"red","blue",0,"blue",42,FALSE,FALSE,"red","same",1153,0,TRUE,TRUE,NA,NA,30
"4253","wm",8,FALSE,64,"blue","blue",440,"blue",0,TRUE,TRUE,"red","diff",824,0,FALSE,TRUE,NA,NA,30
"4254","wm",7,FALSE,65,"blue","blue",0,"blue",35,TRUE,FALSE,"red","diff",818,0,FALSE,TRUE,NA,NA,30
